Zeitschrift gefiltert;Fachbereich;Schlagworte;field;key word
Journal of Cerebral Blood Flow & Metabolism;Medizin                    ;Angiologie  |  Hämatologie;medicine                    ;Angiology | Hematology
Journal of Chemotherapy (Florence, Italy);Medizin                    ;Onkologie          ;medicine                    ;oncology          
Journal of Chemical Ecology;Biologie  |  Chemie und Pharmazie                    ;Biochemie  |  Allgemeine Ökologie          ;Biology | Chemistry and Pharmacy                    ;Biochemistry | General Ecology          
Journal of Chemical Neuroanatomy;Medizin                    ;Neurologie          ;medicine                    ;neurology          
The Journal of Chemical Physics;Chemie und Pharmazie  |  Physik                    ;Physikalische Chemie  |  Theoretische Chemie          ;Chemistry and Pharmacy | Physics                    ;Physical Chemistry | Theoretical Chemistry          
Journal of Chemical Technology and Biotechnology;Verfahrenstechnik, Biotechnologie                    ;Chemische Verfahrenstechnik  |  Biotechnologie          ;Process Engineering, Biotechnology                    ;Chemical Process Engineering | Biotechnology          
The Journal of Chemical Thermodynamics;Chemie und Pharmazie  |  Physik                    ;Physikalische Chemie  |  Thermodynamik          ;Chemistry and Pharmacy | Physics                    ;Physical Chemistry | Thermodynamics          
Journal of Child and Adolescent Behavior;Medizin                    ;Kinder- und Jugendmedizin          ;medicine                    ;paediatric and adolescent medicine          
Journal of Child and Adolescent Mental Health;Medizin                    ;Kinder- und Jugendmedizin          ;medicine                    ;paediatric and adolescent medicine          
Journal of Child & Adolescent Trauma;Land- und Forstwirtschaft u.a.                    ;Agrarsoziologie  |  Landwirtschaft: Afrika          ;Agriculture and forestry etc.                    ;Agricultural sociology | Agriculture: Africa          
Journal of Child and Family Studies;Psychologie  |  Soziologie                    ;Jugendforschung  |  Familiensoziologie          ;Psychology | Sociology                    ;Youth Research | Family Sociology          
Journal of Child Health Care;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Journal of Child Language;Allgemeine Sprach- und Literaturwissenschaft                    ;Fachdidaktik: Sprachunterricht          ;General Linguistics and Literature                    ;Didactics: Language teaching          
Journal of Child Neurology;Medizin                    ;Kinderheilkunde  |  Neurologie          ;medicine                    ;Pediatrics | Neurology          
Journal of childhood obesity;Medizin;Ernährungsmedizin;medicine;nutritional medicine
Journal of Children's Orthopaedics;Medizin                    ;Kinderheilkunde  |  Orthopädie          ;medicine                    ;Paediatrics | Orthopaedics          
Journal of Child Psychology and Psychiatry, and Allied Disciplines;Medizin  |  Psychologie                    ;Kinderpsychiatrie  |  Kinder- und Jugendpsychologie          ;Medicine | Psychology                    ;Child psychiatry | Child and adolescent psychology          
Journal of Chromatography. a;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Journal of Chromatography. B, Analytical Technologies in the Biomedical and Life Sciences;Chemie und Pharmazie;Analytische Chemie;Chemicals and pharmaceuticals;Analytical Chemistry
Journal of chromatography & separation techniques;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Journal of Circadian Rhythms;Medizin                    ;Biorhythmus  |  Schlafmedizin          ;medicine                    ;Biorhythm | Sleeping Medicine          
Journal of Cleaner Production;Energie, Umweltschutz, Kerntechnik                    ;Umweltschutz  |  Nachhaltigkeit  |  Umwelttechnik          ;Energy, environmental protection, nuclear technology                    ;Environmental protection | Sustainability | Environmental technology          
Journal of clinical & anatomic pathology (JCAP);Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of Clinical Biochemistry and Nutrition;Medizin                    ;Ernährungsmedizin  |  Labormedizin          ;medicine                    ;Nutritional Medicine | Laboratory Medicine          
Journal of Clinical Bioinformatics;Biologie  |  Informatik  |  Medizin                    ;Bioinformatik  |  Biomedizin  |  Allgemeine medizinische Zeitschriften          ;Biology | Informatics | Medicine                    ;Bioinformatics | Biomedicine | General medical journals          
Journal of clinical & cellular immunology;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of Clinical Child and Adolescent Psychology;Medizin  |  Psychologie                    ;Kinderpsychiatrie  |  Kinder- und Jugendpsychologie          ;Medicine | Psychology                    ;Child psychiatry | Child and adolescent psychology          
Journal of Clinical Densitometry;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Journal of clinical densitometry : the official journal of the International Society for Clinical Densitometry;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
The Journal of Clinical Endocrinology and Metabolism;Medizin                    ;Endokrinologie          ;medicine                    ;endocrinology          
Journal of Clinical Epidemiology;Medizin                    ;Epidemiologie  |  Statistik          ;medicine                    ;Epidemiology | Statistics          
Journal of clinical & experimental cardiology;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of Clinical and Experimental Dentistry;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Journal of clinical & experimental dermatology research;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of clinical & experimental nephrology;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of clinical & experimental ophthalmology;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of clinical & experimental pathology;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of Clinical Hypertension (Greenwich, Conn.);Medizin;Kardiologie;medicine;cardiology
Journal of Clinical Immunology;Medizin                    ;Immunologie          ;medicine                    ;immunology          
The Journal of Clinical Investigation;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Journal of clinical and investigative dermatology;Medizin;Dermatologie und Venerologie;medicine;Dermatology and Venerology
Journal of Clinical Laboratory Analysis;Medizin                    ;Labormedizin          ;medicine                    ;laboratory medicine          
Journal of Clinical Lipidology;Medizin                    ;Biomedizin  |  Lipide          ;medicine                    ;Biomedicine | Lipids          
Journal of Clinical Medicine;Medizin                    ;Klinische Medizin          ;medicine                    ;Clinical Medicine          
Journal of Clinical Medicine Research;Medizin                    ;Klinische Medizin          ;medicine                    ;Clinical Medicine          
Journal of Clinical Microbiology;Biologie  |  Medizin                    ;Mikrobiologie  |  Labormedizin          ;Biology | Medicine                    ;Microbiology | Laboratory Medicine          
Journal of Clinical Monitoring and Computing;Informatik  |  Medizin                    ;Medizinische Informatik          ;Computer Science | Medicine                    ;Medical Informatics          
Journal of Clinical Movement Disorders;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Journal of Clinical Nursing;Medizin                    ;Krankenpflege          ;medicine                    ;nursing care          
Journal of Clinical Oncology;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Journal of Clinical Pathology;Medizin                    ;Pathologie          ;medicine                    ;pathology          
Journal of Clinical Periodontology;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Journal of Clinical Pharmacology;Chemie und Pharmazie  |  Medizin                    ;Pharmazie  |  Pharmakologie          ;Chemistry and Pharmacy | Medicine                    ;Pharmacy | Pharmacology          
Journal of Clinical Psychology;Medizin  |  Psychologie                    ;Psychiatrie          ;Medicine | Psychology                    ;psychiatry          
Journal of Clinical Psychology in Medical Settings;Medizin                    ;Psychiatrie          ;medicine                    ;psychiatry          
Journal of clinical research & bioethics;Medizin                    ;Klinische Medizin          ;medicine                    ;Clinical Medicine          
Journal of Clinical Research in Pediatric Endocrinology;Medizin                    ;Kinderheilkunde  |  Endokrinologie          ;medicine                    ;Pediatrics | Endocrinology          
Journal of clinical toxicology;Medizin                    ;Toxikologie          ;medicine                    ;toxicology          
Journal of Clinical and Translational Science;Medizin                    ;Klinische Medizin          ;medicine                    ;Clinical Medicine          
Journal of clinical trials;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Journal of Clinical Urology;Medizin                    ;Urologie  |  Chirurgie  |  Gynäkologie  |  Andrologie          ;medicine                    ;Urology | Surgery | Gynecology | Andrology          
Journal of Clinical Virology;Medizin                    ;Immunologie  |  Virologie          ;medicine                    ;Immunology | Virology          
Journal of cognitive neuroscience;Medizin  |  Psychologie                    ;Psychiatrie  |  Neurolinguistik  |  Psycholinguistik          ;Medicine | Psychology                    ;Psychiatry | Neurolinguistics | Psycholinguistics          
Journal of Cognitive Psychology (Hove, England);Psychologie;Kognitive Psychologie;psychology;Cognitive Psychology
Journal of Colloid and Interface Science;Chemie und Pharmazie  |  Physik                    ;Physikalische Chemie  |  Festkörperphysik          ;Chemistry and Pharmacy | Physics                    ;Physical Chemistry | Solid State Physics          
The Journal of Commonwealth Literature;Anglistik. Amerikanistik                    ;Literaturwissenschaft des Commonwealth          ;English studies. American studies                    ;Literary Studies of the Commonwealth          
Journal of Community & Applied Social Psychology;Rechtswissenschaft                    ;Öffentliches Recht          ;jurisprudence                    ;public right          
Journal of Community Genetics;Biologie                    ;Genetik          ;biology                    ;genetics          
Journal of Community Health;Medizin                    ;Öffentliches Gesundheitswesen          ;medicine                    ;public health care          
Journal of Community Hospital Internal Medicine Perspectives;Medizin                    ;Krankenhauswesen          ;medicine                    ;hospital system          
Journal of community medicine & health education;Medizin                    ;Öffentliches Gesundheitswesen          ;medicine                    ;public health care          
Journal of Community Psychology;Psychologie                    ;Sozialpsychologie          ;psychology                    ;social psychology          
Journal of Communication Disorders;Medizin  |  Psychologie                    ;Logopädie          ;Medicine | Psychology                    ;speech therapy          
Journal of compassionate health care;Medizin  |  Psychologie                    ;Gesundheitswesen  |  Krankenpflege  |  Medizinethik          ;Medicine | Psychology                    ;Healthcare | Nursing | Medical ethics          
Journal of Computer-Aided Molecular Design;Chemie und Pharmazie                    ;Pharmazie  |  Chemische Informatik          ;Chemicals and pharmaceuticals                    ;Pharmacy | Chemical Informatics          
Journal of Computational and Applied Mathematics;Informatik  |  Mathematik                    ;Angewandte Mathematik  |  Numerik          ;Computer Science | Mathematics                    ;Applied Mathematics | Numerical          
Journal of Computer Assisted Tomography;Medizin                    ;Radiologie          ;medicine                    ;radiology          
Journal of Computational Biology;Biologie  |  Informatik                    ;Bioinformatik  |  Zellbiologie          ;Biology | Computer Science                    ;Bioinformatics | Cell Biology          
Journal of computational biology and bioinformatics research;Biologie                    ;Bioinformatik          ;biology                    ;bioinformatics          
Journal of Computational Chemistry;Chemie und Pharmazie  |  Informatik                    ;Chemische Informatik          ;Chemistry and Pharmacy | Computer Science                    ;Chemical Informatics          
Journal of Computational Electronics;Elektrotechnik,  Mess- und Regelungstechnik  |  Informatik                    ;Technische Elektronik  |  Technische Informatik          ;Electrical engineering, measurement and control engineering | Computer science                    ;Technical Electronics | Computer Engineering          
Journal of Computational and Graphical Statistics;Mathematik                    ;Mathematische Statistik          ;mathematics                    ;Mathematical Statistics          
Journal of Computational Neuroscience;Informatik  |  Medizin  |  Physik                    ;Neurologie  |  Medizinische Informatik          ;Computer Science | Medicine | Physics                    ;Neurology | Medical Informatics          
Journal of Computational Physics;Informatik  |  Physik                    ;Computerphysik  |  Meteorologie          ;Computer Science | Physics                    ;Computer Physics | Meteorology          
Journal of computer science and systems biology;Biologie  |  Informatik                    ;Biometrie          ;Biology | Computer Science                    ;biometrics          
Journal of computational surgery;Medizin  |  Technik allgemein                    ;Medizintechnik  |  Chirurgie          ;Medicine | General Engineering                    ;Medical Technology | Surgery          
Journal of Computer and System Sciences;Informatik                    ;Systementwicklung          ;computer science                    ;system development          
The Journal of Comparative Neurology;Biologie  |  Medizin                    ;Neurologie          ;Biology | Medicine                    ;neurology          
Journal of Comparative Pathology;Medizin                    ;Pathologie  |  Tiermedizin          ;medicine                    ;Pathology | Veterinary Medicine          
Journal of Comparative Physiology. A, Neuroethology, Sensory, Neural, and Behavioral Physiology;Biologie  |  Medizin                    ;Verhaltensforschung  |  Humanphysiologie          ;Biology | Medicine                    ;Behavioural research | Human physiology          
Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology;Biologie  |  Medizin                    ;Verhaltensforschung  |  Humanphysiologie          ;Biology | Medicine                    ;Behavioural research | Human physiology          
Journal of Comparative Psychology;Kunstgeschichte                    ;Vergleichende Psychologie          ;art history                    ;Comparative Psychology          
Journal of Conservative Dentistry : JCD;Medizin;Zahnmedizin;medicine;dentistry
Journal of Consulting and Clinical Psychology;Medizin  |  Psychologie                    ;Psychiatrie  |  Psychotherapie          ;Medicine | Psychology                    ;Psychiatry | Psychotherapy          
Journal of Contemporary Psychotherapy;Psychologie                    ;Psychotherapie          ;psychology                    ;psychotherapy          
Journal of Controlled Release;Chemie und Pharmazie                    ;Pharmazie          ;Chemicals and pharmaceuticals                    ;pharmacy          
Journal of Cosmetic Dermatology;Medizin                    ;Dermatologie und Venerologie          ;medicine                    ;Dermatology and Venerology          
Journal of Cosmetic and Laser Therapy;Medizin                    ;Dermatologie und Venerologie          ;medicine                    ;Dermatology and Venerology          
Journal of Craniovertebral Junction and Spine;Medizin                    ;Neurochirurgie          ;medicine                    ;neurosurgery          
The Journal of Creative Behavior;Psychologie                    ;Betriebs- und Organisationspsychologie          ;psychology                    ;Industrial and organizational psychology          
The Journal of criminal law & criminology;Rechtswissenschaft                    ;Strafrecht          ;jurisprudence                    ;criminal law          
Journal of Critical Care;Medizin                    ;Intensiv- und Notfallmedizin          ;medicine                    ;Intensive care and emergency medicine          
Journal of Critical Realism;Philosophie                    ;Realismus          ;philosophy                    ;realism          
Journal of Crohn's & Colitis;Medizin                    ;Gastroenterologie          ;medicine                    ;gastroenterology          
Journal of Cross-Cultural Gerontology;Ethnologie (Volks- und Völkerkunde)  |  Soziologie                    ;Vergleichende Ethnographie  |  Kultursoziologie  |  Gerontologie          ;Ethnology (Folk and Ethnology) | Sociology                    ;Comparative ethnography | Cultural sociology | Gerontology          
Journal of Crystal Growth;Chemie und Pharmazie  |  Geowissenschaften  |  Physik                    ;Kristallographie          ;Chemistry and Pharmacy | Earth Sciences | Physics                    ;crystallography          
Journal of Current Glaucoma Practice;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
Journal of Cutaneous and Aesthetic Surgery;Medizin                    ;Plastische Chirurgie  |  Dermatologie          ;medicine                    ;Plastic Surgery | Dermatology          
Journal of Cutaneous Pathology;Medizin                    ;Dermatologie  |  Venerologie  |  Pathologie          ;medicine                    ;Dermatology | Venerology | Pathology          
Journal of Cystic Fibrosis;Medizin                    ;Innere Medizin          ;medicine                    ;Internal Medicine          
Journal of Cytology / Indian Academy of Cytologists;Medizin;Histologie | Zytologie | Pathologie;medicine;Histology | Cytology | Pathology
Journal of cytology & histology;Medizin                    ;Histologie  |  Zytologie  |  Pathologie          ;medicine                    ;Histology | Cytology | Pathology          
Journal of data mining in genomics & proteomics;Biologie  |  Chemie und Pharmazie  |  Informatik                    ;Biomedizin  |  Data-Mining  |  Biometrie          ;Biology | Chemistry and Pharmacy | Computer Science                    ;Biomedicine | Data Mining | Biometrics          
The Journal of Deaf Studies and Deaf Education;Pädagogik                    ;SonderPädagogik          ;pedagogy                    ;Special Pedagogy          
Journal of Dentistry;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Journal of Dentistry (Tehran, Iran);Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Journal of Dental Biomechanics;Medizin                    ;Zahnmedizin  |  Zahntechnik          ;medicine                    ;Dentistry | Dental Technology          
Journal of Dental Research, Dental Clinics, Dental Prospects;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Journal of depression & anxiety;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Journal of Dermatological Science;Medizin                    ;Dermatologie und Venerologie          ;medicine                    ;Dermatology and Venerology          
Journal of developmental biology;Biologie                    ;Entwicklungsbiologie          ;biology                    ;developmental biology          
Journal of developing drugs;Chemie und Pharmazie;Pharmazie;Chemicals and pharmaceuticals;pharmacy
Journal of development economics;Politologie  |  Wirtschaftswissenschaften                    ;Entwicklungszusammenarbeit          ;Political Science | Economics                    ;development cooperation          
Journal of Developmental Origins of Health and Disease;Medizin                    ;Allgemeine medizinische Zeitschrift          ;medicine                    ;General medical journal          
Journal of Developmental and Physical Disabilities;Medizin                    ;Rehabilitation          ;medicine                    ;rehabilitation          
Journal of Diabetes;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of Diabetes Investigation;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of diabetes mellitus;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of diabetes & metabolism;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of Diabetes and Metabolic Disorders;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of diabetes and obesity;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of diabetes research & clinical metabolism;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of diabetes research and therapy;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of Diabetes Science and Technology;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Journal of Dietary Supplements;Medizin                    ;Diätologie          ;medicine                    ;dietology          
Journal of Differential Equations;Mathematik                    ;Analysis          ;mathematics                    ;analysis          
Journal of Digital Imaging;Medizin                    ;Radiologie          ;medicine                    ;radiology          
Journal of drug abuse;Psychologie                    ;Suchtforschung          ;psychology                    ;addiction research          
Journal of drug and alcohol research;Medizin                    ;Suchtforschung          ;medicine                    ;addiction research          
Journal of Drug Assessment;Chemie und Pharmazie                    ;Pharmazie          ;Chemicals and pharmaceuticals                    ;pharmacy          
Journal of drug metabolism & toxicology;Medizin                    ;Pharmakologie          ;medicine                    ;pharmacology          
Journal Der Deutschen Dermatologischen Gesellschaft;Medizin                    ;Dermatologie und Venerologie          ;medicine                    ;Dermatology and Venerology          
Journal of Eastern African Studies;Geschichte                    ;Afrikanistik          ;story                    ;African studies          
Journal of Eating Disorders;Medizin  |  Psychologie                    ;Ernährungsmedizin  |  Ernährungspsychologie          ;Medicine | Psychology                    ;Nutritional Medicine | Nutritional Psychology          
Journal of Echocardiography;Medizin                    ;Kardiologie          ;medicine                    ;cardiology          
The Journal of Ecology;Biologie                    ;Allgemeine Ökologie          ;biology                    ;General Ecology          
Journal of Econometrics;Wirtschaftswissenschaften                    ;Wirtschafts- und Sozialstatistik          ;economic sciences                    ;Economic and social statistics          
The Journal of the Economics of Ageing;Wirtschaftswissenschaften                    ;Demographie          ;economic sciences                    ;demography          
Journal of Economic Behavior & Organization;Wirtschaftswissenschaften                    ;Allgemeine Betriebswirtschaftslehre  |  VerhaltensÖkonomik          ;economic sciences                    ;General Business Administration | Behavioral Economics          
Journal of Economic Entomology;Biologie  |  Land- und Forstwirtschaft u.a.                    ;Entomologie  |  Phytopathologie          ;Biology | Agriculture and Forestry etc.                    ;Entomology | Phytopathology          
Journal of Economic Psychology;Psychologie  |  Wirtschaftswissenschaften                    ;Wirtschaftspsychologie          ;Psychology | Economics                    ;business psychology          
Journal of educational and developmental psychology;Psychologie                    ;Erziehungs- und Entwicklungspsychologie          ;psychology                    ;Psychology of education and development          
Journal of Educational Evaluation for Health Professions;Medizin  |  Pädagogik                    ;Öffentliches Gesundheitswesen Ostasien  |  Gesundheitserziehung          ;Medicine | Pedagogy                    ;Public health system East Asia | Health education          
Journal of Educational Psychology;Pädagogik  |  Psychologie                    ;Pädagogische Psychologie          ;Education | Psychology                    ;Pedagogical Psychology          
Journal of education and training studies;Pädagogik;Allgemeine pädagogische Zeitschriften;pedagogy;General educational journals
Journal of Electroanalytical Chemistry (Lausanne, Switzerland);Chemie und Pharmazie;Physikalische Chemie | Analytische Chemie;Chemicals and pharmaceuticals;Physical Chemistry | Analytical Chemistry
Journal of Electrocardiology;Medizin                    ;Kardiologie          ;medicine                    ;cardiology          
Journal of the Electrochemical Society;Chemie und Pharmazie  |  Elektrotechnik,  Mess- und Regelungstechnik                    ;Physikalische Chemie          ;Chemistry and pharmaceuticals | Electrical engineering, measurement and control technology                    ;Physical Chemistry          
Journal of Electromyography and Kinesiology;Medizin  |  Sport                    ;Physikalische Therapie          ;Medicine | Sports                    ;Physical Therapy          
Journal of Electron Spectroscopy and Related Phenomena;Physik                    ;Elektronenspektroskopie          ;physics                    ;electron spectroscopy          
Journal of Elections, Public Opinion and Parties;Politologie                    ;Parteienforschung  |  Wahlforschung          ;political science                    ;Party research | Electoral research          
Journal of Emergencies, Trauma and Shock;Medizin                    ;Intensiv- und Notfallmedizin  |  Traumatologie          ;medicine                    ;Intensive Care and Emergency Medicine | Traumatology          
Journal of Emergencies, Trauma, and Shock;Medizin                    ;Intensiv- und Notfallmedizin  |  Traumatologie          ;medicine                    ;Intensive Care and Emergency Medicine | Traumatology          
Journal of Empirical Research on Human Research Ethics;Soziologie                    ;Methoden der Sozialwissenschaft          ;sociology                    ;Methods of Social Science          
The Journal of Endocrinology;Medizin                    ;Endokrinologie          ;medicine                    ;endocrinology          
Journal of Endocrinological Investigation;Medizin                    ;Endokrinologie          ;medicine                    ;endocrinology          
Journal of Endourology Case Reports;Medizin                    ;Urologie          ;medicine                    ;urology          
Journal of Endovascular Therapy;Medizin                    ;Angiologie  |  Gefäßchirurgie          ;medicine                    ;Angiology | Vascular Surgery          
Journal of environmental & analytical toxicology;Naturwissenschaft allgemein                    ;Umweltwissenschaften interdisziplinär          ;Science in general                    ;Interdisciplinary Environmental Sciences          
Journal of environmental engineering & ecological science;Architektur, Bauingenieur- und Vermessungswesen  |  Energie, Umweltschutz, Kerntechnik                    ;Umwelttechnik          ;Architecture, Civil Engineering and Surveying | Energy, Environmental Protection, Nuclear Technology                    ;environmental engineering          
Journal of environment and health sciences;Medizin                    ;Toxikologie  |  Umweltmedizin          ;medicine                    ;Toxicology | Environmental Medicine          
Journal of Environmental Health Science and Engineering;Energie, Umweltschutz, Kerntechnik  |  Medizin                    ;Umweltmedizin  |  Umwelttechnik          ;Energy, environmental protection, nuclear engineering | Medicine                    ;Environmental Medicine | Environmental Technology          
Journal of Environmental Management;Energie, Umweltschutz, Kerntechnik  |  Wirtschaftswissenschaften                    ;Umweltmanagement          ;Energy, environmental protection, nuclear engineering | Economics                    ;environmental management          
Journal of Environmental Psychology;Energie, Umweltschutz, Kerntechnik  |  Psychologie                    ;Umweltpsychologie          ;Energy, environmental protection, nuclear engineering | Psychology                    ;environmental psychology          
Journal of Enzyme Inhibition and Medicinal Chemistry;Medizin                    ;Labormedizin          ;medicine                    ;laboratory medicine          
Journal of Epidemiology;Medizin                    ;Epidemiologie          ;medicine                    ;epidemiology          
Journal of Epidemiology and Community Health;Medizin                    ;Epidemiologie          ;medicine                    ;epidemiology          
Journal of epidemiology and public health reviews;Medizin;Öffentliches Gesundheitswesen | Epidemiologie;medicine;Public health care | Epidemiology
Journal of Esthetic and Restorative Dentistry;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Journal of Ethnobiology and Ethnomedicine;Biologie  |  Ethnologie (Volks- und Völkerkunde)  |  Medizin                    ;Volksmedizin  |  Anthropologie          ;Biology | Ethnology (Folk and Ethnology) | Medicine                    ;Folk Medicine | Anthropology          
Journal of Ethnopharmacology;Chemie und Pharmazie                    ;Pharmazie  |  Allgemeine chemische Zeitschriften          ;Chemicals and pharmaceuticals                    ;Pharmacy | General chemical journals          
Journal of Ethnic and Migration Studies;Ethnologie (Volks- und Völkerkunde)  |  Soziologie                    ;Ethnizität  |  Migration          ;Ethnology (Folk and Ethnology) | Sociology                    ;Ethnicity | Migration          
Journal of Ethology;Biologie                    ;Verhaltensforschung          ;biology                    ;behavioural science          
The Journal of Eukaryotic Microbiology;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of the European Academy of Dermatology and Venereology;Medizin                    ;Dermatologie und Venerologie          ;medicine                    ;Dermatology and Venerology          
Journal of the European Ceramic Society;Maschinenwesen, Werkstoffwissenschaften                    ;Glas- und Keramikfertigung          ;Mechanical Engineering, Materials Science                    ;Glass and ceramics production          
Journal of European Public Policy;Politologie                    ;Europäische Union          ;political science                    ;European Union          
Journal of European Social Policy;Politologie  |  Soziologie                    ;Sozialpolitik          ;Political Science | Sociology                    ;social policy          
Journal of Evaluation in Clinical Practice;Medizin                    ;Krankenhauswesen          ;medicine                    ;hospital system          
Journal of Evidence-Based Medicine;Medizin                    ;Allgemeine Medizin          ;medicine                    ;General medicine          
Journal of Evolutionary Biology;Biologie                    ;Anthropologie  |  Evolution          ;biology                    ;Anthropology | Evolution          
Journal of Evolutionary Economics;Wirtschaftswissenschaften                    ;Allgemeine Volkswirtschaftslehre          ;economic sciences                    ;General economics          
Journal of Exercise Nutrition & Biochemistry;Land- und Forstwirtschaft u.a.  |  Sport                    ;Ernährungswissenschaft          ;Agriculture and forestry etc. | Sport                    ;dietetics          
Journal of Exposure Science & Environmental Epidemiology;Medizin                    ;Epidemiologie          ;medicine                    ;epidemiology          
Journal of the Experimental Analysis of Behavior;Psychologie                    ;Verhaltenspsychologie          ;psychology                    ;behavioural psychology          
The Journal of Experimental Biology;Biologie                    ;Experimentelle Biologie          ;biology                    ;Experimental Biology          
Journal of Experimental Botany;Biologie                    ;Experimentelle Biologie  |  Allgemeine Botanik          ;biology                    ;Experimental Biology | General Botany          
Journal of Experimental Child Psychology;Psychologie                    ;Experimentelle Psychologie  |  Kinder- und Jugendpsychologie          ;psychology                    ;Experimental Psychology | Child and Adolescent Psychology          
Journal of Experimental & Clinical Assisted Reproduction;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of Experimental & Clinical Cancer Research : CR;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Journal of Experimental Marine Biology and Ecology;Biologie                    ;Experimentelle Biologie  |  Meeresbiologie          ;biology                    ;Experimental Biology | Marine Biology          
The Journal of Experimental Medicine;Medizin                    ;Radiologie          ;medicine                    ;radiology          
Journal of experimental neuroscience;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Journal of Experimental Psychology. Animal Learning and Cognition;Psychologie                    ;Experimentelle Psychologie          ;psychology                    ;Experimental Psychology          
Journal of Experimental Psychology. Applied;Psychologie                    ;Experimentelle Psychologie          ;psychology                    ;Experimental Psychology          
Journal of Experimental Psychology. General;Psychologie                    ;Experimentelle Psychologie          ;psychology                    ;Experimental Psychology          
Journal of Experimental Psychology. Human Perception and Performance;Psychologie                    ;Experimentelle Psychologie          ;psychology                    ;Experimental Psychology          
Journal of Experimental Psychology. Learning, Memory, and Cognition;Psychologie                    ;Experimentielle Psychologie          ;psychology                    ;Experimental Psychology          
Journal of Experimental Social Psychology;Psychologie                    ;Sozialpsychologie  |  Experimentelle Psychologie          ;psychology                    ;Social Psychology | Experimental Psychology          
Journal of Experimental Zoology. Part A, Ecological Genetics and Physiology;Biologie                    ;Experimentelle Biologie  |  Allgemeine Zoologie          ;biology                    ;Experimental Biology | General Zoology          
Journal of Experimental Zoology. Part B, Molecular and Developmental Evolution;Biologie                    ;Experimentelle Biologie  |  Allgemeine Zoologie          ;biology                    ;Experimental Biology | General Zoology          
Journal of Extracellular Vesicles;Biologie  |  Medizin                    ;Zellbiologie          ;Biology | Medicine                    ;cell biology          
The Journal of Extra-corporeal Technology;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Journal of Family and Community Medicine;Medizin                    ;Familienmedizin  |  Allgemeinmedizin          ;medicine                    ;Family Medicine | General Medicine          
Journal of Family & Reproductive Health;Medizin                    ;Allgemeinmedizin          ;medicine                    ;general medicine          
Journal of Family and Economic Issues;Soziologie                    ;Familiensoziologie          ;sociology                    ;family sociology          
Journal of Family History;Geschichte  |  Soziologie                    ;Sozialgeschichte          ;History | Sociology                    ;social history          
Journal of Family Issues;Soziologie                    ;Familiensoziologie          ;sociology                    ;family sociology          
The Journal of Family Planning and Reproductive Health Care;Medizin;Sexualmedizin;medicine;sexual medicine
Journal of Family Psychology;Psychologie                    ;Familientherapie          ;psychology                    ;family therapy          
Journal of Family Therapy;Psychologie                    ;Familientherapie          ;psychology                    ;family therapy          
